Date,6758.T,7203.T,AAPL,AMZN,TSLA
2023-01-03,,,123.47061920166016,85.81999969482422,108.0999984741211
2023-01-04,2013.730224609375,1669.9801025390625,124.74411010742188,85.13999938964844,113.63999938964844
2023-01-05,2057.31298828125,1677.8704833984375,123.42125701904297,83.12000274658203,110.33999633789062
2023-01-06,2106.83935546875,1694.11572265625,127.9624252319336,86.08000183105469,113.05999755859375
2023-01-09,,,128.4856414794922,87.36000061035156,119.7699966430664
2023-01-10,2124.66845703125,1695.971923828125,129.05824279785156,89.87000274658203,118.8499984741211
2023-01-11,2198.957763671875,1705.7191162109375,131.782958984375,95.08999633789062,123.22000122070312
2023-01-12,2207.872314453125,1724.28466796875,131.70396423339844,95.2699966430664,123.55999755859375
2023-01-13,2172.213623046875,1685.296875,133.0366973876953,98.12000274658203,122.4000015258789
2023-01-16,2150.421875,1687.1534423828125,,,
2023-01-17,2202.919677734375,1729.390380859375,134.2016143798828,96.05000305175781,131.49000549316406
2023-01-18,2248.483642578125,1772.555419921875,133.4809112548828,95.45999908447266,128.77999877929688
2023-01-19,2254.4267578125,1730.78271484375,133.54017639160156,93.68000030517578,127.16999816894531
2023-01-20,2264.33203125,1747.9559326171875,136.10691833496094,97.25,133.4199981689453
2023-01-23,2268.2939453125,1753.5257568359375,139.3054962158203,97.5199966430664,143.75
2023-01-24,2311.877197265625,1774.412109375,140.70736694335938,96.31999969482422,143.88999938964844
2023-01-25,2310.88671875,1768.3782958984375,140.04591369628906,97.18000030517578,144.42999267578125
2023-01-26,2281.170654296875,1757.2386474609375,142.11904907226562,99.22000122070312,160.27000427246094
2023-01-27,2303.953125,1764.2008056640625,144.06385803222656,102.23999786376953,177.89999389648438
2023-01-30,2298.009765625,1765.59326171875,141.1713104248047,100.55000305175781,166.66000366210938
2023-01-31,2294.0478515625,1760.4876708984375,142.44482421875,103.12999725341797,173.22000122070312
2023-02-01,2272.25634765625,1766.521484375,143.57022094726562,105.1500015258789,181.41000366210938
2023-02-02,2276.218505859375,1745.63525390625,148.8913116455078,112.91000366210938,188.27000427246094
2023-02-03,2416.872314453125,1755.8463134765625,152.52426147460938,103.38999938964844,189.97999572753906
2023-02-06,2380.22314453125,1776.2684326171875,149.78968811035156,102.18000030517578,194.75999450683594
2023-02-07,2388.147216796875,1760.9517822265625,152.67234802246094,102.11000061035156,196.80999755859375
2023-02-08,2368.336669921875,1761.416015625,149.97727966308594,100.05000305175781,201.2899932861328
2023-02-09,2366.355712890625,1764.6649169921875,148.94068908691406,98.23999786376953,207.32000732421875
2023-02-10,2365.365234375,1744.2427978515625,149.30650329589844,97.61000061035156,196.88999938964844
2023-02-13,2319.80126953125,1741.9219970703125,152.11448669433594,99.54000091552734,194.63999938964844
2023-02-14,2333.668701171875,1747.4918212890625,151.4718017578125,99.69999694824219,209.25
2023-02-15,2318.810546875,1739.6015625,153.57777404785156,101.16000366210938,214.24000549316406
2023-02-16,2329.70654296875,1775.8043212890625,151.97605895996094,98.1500015258789,202.0399932861328
2023-02-17,2274.2373046875,1770.6988525390625,150.8291473388672,97.19999694824219,208.30999755859375
2023-02-20,2266.313232421875,1766.0576171875,,,
2023-02-21,2248.483642578125,1754.4539794921875,146.80506896972656,94.58000183105469,197.3699951171875
2023-02-22,2202.919677734375,1731.2469482421875,147.23020935058594,95.79000091552734,200.86000061035156
2023-02-23,,,147.71466064453125,95.81999969482422,202.07000732421875
2023-02-24,2249.474365234375,1724.7489013671875,145.05503845214844,93.5,196.8800048828125
2023-02-27,2258.388916015625,1723.820556640625,146.25135803222656,93.76000213623047,207.6300048828125
2023-02-28,2264.33203125,1728.92626953125,145.74713134765625,94.2300033569336,205.7100067138672
2023-03-01,2265.322509765625,1729.854248046875,143.6708221435547,92.16999816894531,202.77000427246094
2023-03-02,2254.4267578125,1729.854248046875,144.26402282714844,92.12999725341797,190.89999389648438
2023-03-03,2287.1142578125,1749.348388671875,149.32627868652344,94.9000015258789,197.7899932861328
2023-03-06,2345.5546875,1768.84228515625,152.09471130371094,93.75,193.80999755859375
2023-03-07,2375.2705078125,1777.1968994140625,149.88986206054688,93.55000305175781,187.7100067138672
2023-03-08,2389.1376953125,1770.6988525390625,151.14553833007812,93.91999816894531,182.0
2023-03-09,2382.2041015625,1781.8382568359375,148.89125061035156,92.25,172.9199981689453
2023-03-10,2317.820068359375,1760.0238037109375,146.82485961914062,90.7300033569336,173.44000244140625
2023-03-13,2299.00048828125,1730.3184814453125,148.77261352539062,92.43000030517578,174.47999572753906
2023-03-14,2235.60693359375,1679.2630615234375,150.86868286132812,94.87999725341797,183.25999450683594
2023-03-15,2242.54052734375,1682.0478515625,151.26417541503906,96.19999694824219,180.4499969482422
2023-03-16,2225.70166015625,1661.6256103515625,154.0919189453125,100.04000091552734,184.1300048828125
2023-03-17,2303.953125,1657.9124755859375,153.2515106201172,98.94999694824219,180.1300048828125
2023-03-20,2290.085693359375,1640.2752685546875,155.6244354248047,97.70999908447266,183.25
2023-03-21,,,157.48321533203125,100.61000061035156,197.5800018310547
2023-03-22,2323.763427734375,1671.836669921875,156.049560546875,98.69999694824219,191.14999389648438
2023-03-23,2294.0478515625,1658.8409423828125,157.1371612548828,98.70999908447266,192.22000122070312
2023-03-24,2297.01953125,1656.0560302734375,158.44227600097656,98.12999725341797,190.41000366210938
2023-03-27,2268.2939453125,1661.6256103515625,156.49449157714844,98.04000091552734,191.80999755859375
2023-03-28,2244.521728515625,1676.013916015625,155.87159729003906,97.23999786376953,189.19000244140625
