Date,6758.T_return_lag_1,7203.T_return_lag_1,AAPL_return_lag_1,AMZN_return_lag_1,TSLA_return_lag_1,6758.T_return_lag_2,7203.T_return_lag_2,AAPL_return_lag_2,AMZN_return_lag_2,TSLA_return_lag_2,6758.T_return_lag_3,7203.T_return_lag_3,AAPL_return_lag_3,AMZN_return_lag_3,TSLA_return_lag_3,6758.T_return_lag_4,7203.T_return_lag_4,AAPL_return_lag_4,AMZN_return_lag_4,TSLA_return_lag_4,6758.T_return_lag_5,7203.T_return_lag_5,AAPL_return_lag_5,AMZN_return_lag_5,TSLA_return_lag_5
2023-01-05,0.021642982743805828,0.004724688368002328,-0.01060465577115266,-0.023725589118479662,-0.029039097760312105,0.021642982743805828,0.004724688368002328,-0.01060465577115266,-0.023725589118479662,-0.029039097760312105,0.021642982743805828,0.004724688368002328,-0.01060465577115266,-0.023725589118479662,-0.029039097760312105,0.021642982743805828,0.004724688368002328,-0.01060465577115266,-0.023725589118479662,-0.029039097760312105,0.021642982743805828,0.004724688368002328,-0.01060465577115266,-0.023725589118479662,-0.029039097760312105
2023-01-06,0.021642982743805828,0.004724688368002328,-0.01060465577115266,-0.023725589118479662,-0.029039097760312105,0.021642982743805828,0.004724688368002328,-0.01060465577115266,-0.023725589118479662,-0.029039097760312105,0.021642982743805828,0.004724688368002328,-0.01060465577115266,-0.023725589118479662,-0.029039097760312105,0.021642982743805828,0.004724688368002328,-0.01060465577115266,-0.023725589118479662,-0.029039097760312105,0.021642982743805828,0.004724688368002328,-0.01060465577115266,-0.023725589118479662,-0.029039097760312105
2023-01-11,0.024073172729627945,0.009681985199832877,0.03679418070108986,0.035611152390083056,0.024651090365942707,0.021642982743805828,0.004724688368002328,-0.01060465577115266,-0.023725589118479662,-0.029039097760312105,0.021642982743805828,0.004724688368002328,-0.01060465577115266,-0.023725589118479662,-0.029039097760312105,0.021642982743805828,0.004724688368002328,-0.01060465577115266,-0.023725589118479662,-0.029039097760312105,0.021642982743805828,0.004724688368002328,-0.01060465577115266,-0.023725589118479662,-0.029039097760312105
2023-01-12,0.0349647882655606,0.005747043291403298,0.02111229881528187,0.058083825879343465,0.036769060182475055,0.024073172729627945,0.009681985199832877,0.03679418070108986,0.035611152390083056,0.024651090365942707,0.021642982743805828,0.004724688368002328,-0.01060465577115266,-0.023725589118479662,-0.029039097760312105,0.021642982743805828,0.004724688368002328,-0.01060465577115266,-0.023725589118479662,-0.029039097760312105,0.021642982743805828,0.004724688368002328,-0.01060465577115266,-0.023725589118479662,-0.029039097760312105
2023-01-13,0.004054142265137672,0.01088429600241203,-0.0005991991226104165,0.0018929468094222024,0.0027592625752508315,0.0349647882655606,0.005747043291403298,0.02111229881528187,0.058083825879343465,0.036769060182475055,0.024073172729627945,0.009681985199832877,0.03679418070108986,0.035611152390083056,0.024651090365942707,0.021642982743805828,0.004724688368002328,-0.01060465577115266,-0.023725589118479662,-0.029039097760312105,0.021642982743805828,0.004724688368002328,-0.01060465577115266,-0.023725589118479662,-0.029039097760312105
2023-01-18,-0.016150646470740493,-0.022610924763580953,0.010119039274607333,0.029915043601747238,-0.009388119582672938,0.004054142265137672,0.01088429600241203,-0.0005991991226104165,0.0018929468094222024,0.0027592625752508315,0.0349647882655606,0.005747043291403298,0.02111229881528187,0.058083825879343465,0.036769060182475055,0.024073172729627945,0.009681985199832877,0.03679418070108986,0.035611152390083056,0.024651090365942707,0.021642982743805828,0.004724688368002328,-0.01060465577115266,-0.023725589118479662,-0.029039097760312105
2023-01-19,0.02068369372117118,0.024959684950398797,-0.005369960353776793,-0.00614267515397382,-0.020609982513142944,-0.016150646470740493,-0.022610924763580953,0.010119039274607333,0.029915043601747238,-0.009388119582672938,0.004054142265137672,0.01088429600241203,-0.0005991991226104165,0.0018929468094222024,0.0027592625752508315,0.0349647882655606,0.005747043291403298,0.02111229881528187,0.058083825879343465,0.036769060182475055,0.024073172729627945,0.009681985199832877,0.03679418070108986,0.035611152390083056,0.024651090365942707
2023-01-20,0.0026430835030062383,-0.023566374629892306,0.000443653998807525,-0.01864654092151996,-0.012501946153228083,0.02068369372117118,0.024959684950398797,-0.005369960353776793,-0.00614267515397382,-0.020609982513142944,-0.016150646470740493,-0.022610924763580953,0.010119039274607333,0.029915043601747238,-0.009388119582672938,0.004054142265137672,0.01088429600241203,-0.0005991991226104165,0.0018929468094222024,0.0027592625752508315,0.0349647882655606,0.005747043291403298,0.02111229881528187,0.058083825879343465,0.036769060182475055
2023-01-23,0.004393780235149025,0.009922226300363768,0.01922074698952403,0.03810845093076898,0.049146812062518475,0.0026430835030062383,-0.023566374629892306,0.000443653998807525,-0.01864654092151996,-0.012501946153228083,0.02068369372117118,0.024959684950398797,-0.005369960353776793,-0.00614267515397382,-0.020609982513142944,-0.016150646470740493,-0.022610924763580953,0.010119039274607333,0.029915043601747238,-0.009388119582672938,0.004054142265137672,0.01088429600241203,-0.0005991991226104165,0.0018929468094222024,0.0027592625752508315
2023-01-24,0.001749650670246794,0.0031863389540867093,0.023500479769791305,0.002776315095798454,0.07742468874848996,0.004393780235149025,0.009922226300363768,0.01922074698952403,0.03810845093076898,0.049146812062518475,0.0026430835030062383,-0.023566374629892306,0.000443653998807525,-0.01864654092151996,-0.012501946153228083,0.02068369372117118,0.024959684950398797,-0.005369960353776793,-0.00614267515397382,-0.020609982513142944,-0.016150646470740493,-0.022610924763580953,0.010119039274607333,0.029915043601747238,-0.009388119582672938
